"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90255";"ARENÁPOLIS";17;5;"Senador";8041;28;6;0;34;6121;0;1920;"N";6121;3734;3734;3734;0;0;0;0;0;0;0;0;0;386;2001;478;1523;0;"20:09:34";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91812";"PEDRA PRETA";45;5;"Senador";14217;42;2;0;44;10694;0;3523;"N";10694;6475;6475;6475;0;0;0;0;0;0;0;0;0;943;3276;1103;2173;0;"19:28:53";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90484";"CAMPO NOVO DO PARECIS";60;5;"Senador";26832;73;0;0;73;19949;0;6883;"N";19949;13922;13922;13922;0;0;0;0;0;0;0;0;0;1928;4099;1323;2776;0;"20:20:47";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90670";"CUIABÁ";1;5;"Senador";93139;312;16;0;328;78857;0;14282;"N";78857;55189;55189;55189;0;0;0;0;0;0;0;0;0;6064;17604;6270;11334;0;"20:26:24";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90980";"SANTA CRUZ DO XINGU";16;3;"Governador";1872;6;0;0;6;1320;0;552;"N";1320;1156;1156;1156;0;0;0;0;0;0;0;0;0;47;117;117;0;0;"19:10:40";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90867";"NOVA LACERDA";61;5;"Senador";4617;15;0;0;15;3124;0;1493;"N";3124;2304;2304;2304;0;0;0;0;0;0;0;0;0;106;714;186;528;0;"19:04:36";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91677";"VÁRZEA GRANDE";49;5;"Senador";93501;290;23;0;313;77088;0;16413;"N";77088;49072;49072;49072;0;0;0;0;0;0;0;0;0;7244;20772;6986;13786;0;"20:23:06";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90204";"GLÓRIA D OESTE";18;5;"Senador";2652;9;1;0;10;2045;0;607;"N";2045;1377;1377;1377;0;0;0;0;0;0;0;0;0;112;556;194;362;0;"19:32:18";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90271";"ARIPUANÃ";11;6;"Deputado Federal";13975;41;8;0;49;9349;0;4626;"N";9349;8693;8692;8318;374;374;0;1;1;0;0;0;0;472;184;183;1;0;"15:44:37";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91057";"LUCIARA";15;3;"Governador";2187;8;3;0;11;1672;0;515;"N";1672;1485;1485;1485;0;0;0;0;0;0;0;0;0;36;151;151;0;0;"18:32:22";"02/10/2022"
